-A0MAC464119.0N1061320.0W  897.0Subarray A0 LASA
VDW   175001.0S1781510.0E  409.0Vunidawa (Vunindawa)
VEA   445321.5N  93708.4E    0.0Veano
VEB  U553556.4N 133057.6E  116.0Veberoed
VEH   531510.8N 901904.8E 1200.0Verkh-Baza
VEL  F                          (keyword for telegraphic format)
VELZ R373501.8N  15916.8W 1000.0Velez Rubio
VEN  C452600.0N 122000.0E    1.0Venice
VENT  404740.9N 132518.1E  110.0Ventotene
VER  C120522.8N 861016.2W  140.0Veracruz
VEW  C324303.6N 795629.4W  -60.0Oceanview
VEX  C322140.2N1150619.2W    0.0Veracruz
VEZ   410749.8N 352745.7E  387.0Vezirk\"opr\"u
VFBM  433930.6N1201415.0W 1369.0Frederick Butte
VFI  R391406.7N 223531.4E  360.0Filaki
VFP   451905.0N1212754.3W 1716.0Flag Point
VG1  C445545.0N  90545.0E    0.0Voghera
VG2   334954.6N1164833.0W 1484.0Vista Grande
VGB   453056.4N1204639.0W  729.0Gordon Butte
VGBM                            (Alternate Abbreviation for VGB)
VGL   392644.3N 225303.1E  424.0Glafira
VGM  C191500.0N 974700.0W    0.0Villa Grajales
VGMM  433532.4N1223245.6W 1561.0Grass Mountain
VGP  C172125.8N 933650.4W    0.0
VGPM  442900.0N1223453.4W 1212.0Green Peter
VGTM  450859.4N1221555.2W  993.0Goat Mountain
VGZ   482450.0N1231928.0W   68.0Gonzales
VHBM  424709.0N1212057.6W 1945.0Hamelton Butte
VHEM  451943.2N1214027.6W 1739.0Hood Meadows East
VHH    91358.8N1244019.2E  250.0Hibok Hibok
VHHM  451552.8N1231834.2W  533.0High Heaven
VHM  C171036.0N 964443.0W 1829.0Vista Hermosa
VHO   170420.3N 964359.5W 1685.0Vista Hermosa
VHOM  451309.0N1234331.2W  951.0Mount Hebo
VHTN C362356.4N 824807.2W  658.0Van Hill
VHYM  421552.2N1210257.0W 1932.0Horsefly Mountain
VIA  R     0.0N      0.0E    0.0Viella
VIAL R     0.0N      0.0E    0.0Villa Altagracia
VIB   531508.0N1323226.0W 1008.0Van Inlet
VIC  C483110.0N1232455.0W  197.0Victoria
VIE   481454.0N 162142.0E  198.0Vienna--Hohe Warte (Wien--Hohe Warte)
VIEF  425301.2N    125.2E 1000.0Viey
VIF   374441.4N 252622.9W  647.0Vila Franca
VIGE R402007.2N 155359.9E  800.0Viggiano
VIGV R 83407.0N 714534.2W   97.9El Vig\'\i a
VIH   423743.8N   4612.0E 1700.0Vielha (Viella)
VIK  C632518.0N 190100.0W   19.0V\'\i k
VIL  C390115.3N 771119.3W    0.0Villa Mercy
VILA  420810.7N  15328.7E  400.0Vilada
VILF  435109.0N  54255.1E  770.0Villemus
VIM  R574716.8N 160007.2E  151.0Vimmerby
VIN  C364500.0N1212306.0W  330.0Vineyard
VINC  440828.2N 100907.8E  710.0Vinca
VINO  461523.0N 131653.0E  608.0Villanova
VIP   394514.4N1192738.9W 2499.0Virginia Peak
VIPM  443029.4N1203707.8W 1731.0Ingram Point
VIR  C280448.0S 265148.0E 1341.0Virginia
VIS   174315.6N 831943.2E   82.0Vishakhapatnam (Andhra, Waltair)
VISS R     0.0N      0.0E    0.0Visnje
VIT  C364500.0N1212318.0W  360.0Vineyard--Telemeter
VITF C481302.0N  55904.0E  460.0Vittel
VIV  R183251.0N1054200.0E    5.0Vinh
VIVF  445122.0N  44022.0E  620.0Saint-Julien-le-Roux
VIZ  C180700.0N 832700.0E    0.0Vizianagram
VJD   163100.0N 803900.0E   21.0Vijayawada
VJYM  445407.8N1205827.0W  951.0Jersey
VKA   481554.0N 161906.0E  400.0Vienna--Kobenzl (Wien--Kobenzl)
VLA   430712.0N1315336.0E   73.0Vladivostok
VLC   440933.8N 102311.0E  555.0Villacollemandina
VLCH R394821.6S 731445.6W   15.0Valdivia
VLD  C610703.0N1461549.2W   61.0Valdez
VLDQ  480644.6N 772713.0W   93.0Val d'Or
VLG  C141425.8N 910027.6W  212.0Velasquez
VLH   130936.0N1234333.6E   67.0Lignon Hill
VLI   364305.4N 225613.2E  220.0Velia\'i
VLK   271900.0N 835200.0E  100.0Valmikinagar
VLL   452748.0N1214045.0W 1195.0Laurance Lake
VLMM  453218.6N1220221.0W 1158.0Larch Mountain
VLN   135312.0S1673230.0E   18.0Vanua-Lava (Sola)
VLO   402807.0N 192943.8E   80.0Vlora
VLP   330132.7S 713827.9W   88.0Valpara\'\i so
VLR   463915.0N 232117.0E 1080.0Valea Ierii
VLS   381038.0N 203523.0E  375.0Valsamata (Kephallenia)
VLV   394724.0S 731635.0W   12.0Valdivia
VLW  R525809.8N  70553.5E    7.0Vlagtwedde
VLZ   610753.4N1461955.2W   10.0Valdez
VMA   384221.0N 233515.5E  468.0Markatai
VMC  C471900.0N 792700.0W    0.0Ville Marie
VMG   435742.0N 113238.0E  450.0Vicchio
VMHM  440815.6N1222426.4W  902.0Mount Hagen
VMNM  451112.6N1210310.8W  555.0Maupin
VMO  C155104.2N 970349.8W    3.0Villa Marinero
VMR   131648.0N1234015.6E  800.0Mayon Resthouse
VMS  C131500.0N1234518.0E    0.0Misericordia
VN-                             (Alternate Abbreviation for VN-UT)
VN-UTC403031.0N1093445.0W 1768.0Vernal
VNA  C703700.0S  82200.0W    0.0George Von Neumayer
VNA1  703945.0S  81524.1W   30.0Neumayer--Station
VNA2  705532.9S  72331.6W  350.0Neumayer--Watzmann
VNA3  711435.2S  94013.4W  480.0Neumayer--Olymp
VND  C773126.0S1614019.0E  150.0Vanda
VNDA  773101.9S1615110.1E  121.0Vanda
VNE   391842.9N 231355.9E  692.0Neochorion
VNM  C255036.0N1003539.0W    0.0Villa de Garc\'\i a
VNT  C383100.8N 432303.8E 1804.0Van
VNV  R392209.0S 715710.0W    0.0Volc\'an Villarrica
VNY  U592414.4N 122855.2E  229.0Vaermlands Nysaeter
VO-                             (Alternate Abbreviation for VO-IO)
VO-IOC421330.0N 920737.0W  274.0Vinton
VOGL  605945.9N1502550.6W   38.0Vogel Lake
VOLV C102512.0N 665059.3W 1480.0El Volc\'an
VOR   514352.0N 391200.0E  160.8Voronezh
VOSK  524324.0N 705847.0E  450.0Vostochnaya
VOU   462356.0N  53903.0E  495.0Vouglans
VOY   460154.1N 135336.6E 1073.0Vojsko
VPA   384653.5N 222024.0E 1084.0Pavliani
VPD   334857.6N1174543.8W  183.0Villa Park Dam
VPEM  355658.2N1174900.1W 1463.0Volcano Peak East
VPIM  434727.0N1205640.8W 1932.0Pine Mountain
VPK   392829.0N1200214.4W 2469.0Verdi Peak
VPL   382244.0N 145901.0E  410.0Vulcano Piano
VPMM  431136.0N1203958.8W 1387.0Saint Patrick Mountain
VPP   140202.4N1210000.0E   10.0Pira-Piraso
VPS  C101114.4N 841418.6W 2570.0Volc\'an Po\'as
VPS2  101124.6N 841407.2W 2570.0Volc\'an Po\'as 2
VPT  R     0.0N      0.0E    0.0Volc\'an Platanar
VQS  C180848.0N 652654.0W   20.0Vieques
VRAC  491829.8N 163536.6E  475.0Vranov
VRBM  443603.0N1211612.6W  743.0Round Butte Dam
VRC   422012.0N1221303.0W    0.0Rainbow Creek
VRD   401312.0N 454200.0E 1930.0Vardenis
VRI   455159.4N 264339.5E  472.0Vr\^\i ncioaia
VRN  C330215.0N 805630.0W   30.0Varnville
VRSR  511254.0N 391124.0E  180.0Storozhevoye
VSA  R     0.0N      0.0E    0.0La Via
VSBM  433125.2N1212050.4W 1664.0Spring Butte
VSC  C325245.0N 810300.0W   30.0Varnville
VSCM  432221.0N1230347.4W 1295.0Scott Mountain
VSG    91510.0S1594245.0E  330.0Visale
VSI  R385245.4N 231232.5E  448.0Simia
VSK  R390638.2N 234136.4E  374.0Skopelos
VSL   392945.6N  92240.8E  370.0Villasalto
VSM   132541.0N 881627.0W 2129.0Volc\'an San Miguel
VSMM  445537.2N1230739.0W  290.0Salem
VSS  C134430.0N 891430.0W 1250.0Volc\'an San Salvador
VST  C182114.4N 645725.2W  372.0Saint Thomas
VSTC  330924.1N1171354.1W  112.0Vista
VSTOPF                          (keyword for telegraphic format)
VSU   582743.2N 264404.9E   63.0
VT-                             (Alternate Abbreviation for VT-OR)
VT-ORC430649.0N1182453.0W 1341.0Venator
VT1   441954.1N 724513.0W  410.0Waterbury
VTB1  411057.0N 143748.0E  865.0Vitulano
VTCM  445449.2N1213957.0W 1690.0Trout Creek Butte
VTDM  453243.2N1211841.4W  305.0The Dalles
VTG   465728.8N1195914.4W  208.0Vantage
VTH  R381202.0N 232136.0E  756.0Erithrai
VTHM  451052.2N1203337.8W  773.0Trough
VTS   423529.8N 231229.9E 1490.0Vitosha
VTU   100115.6N 834530.0W 3329.0Volc\'an Turrialba
VTV   343338.1N1171946.6W  812.0Victorville
VTY   190433.1S 473219.1E 1423.0Vatovaky
VUL    41658.2S1520844.6E  332.0Vulcan (Taviliu)
VUN   180026.0S1782748.0E  178.0Vunikawai
VVD  C274826.6N 175440.4W  540.0Valverde
VVI   455855.0N 122541.0E  100.0Villa di Villa
VVLD R415215.6N 133719.2E 1005.0Villa Vallelonga
VVO   352012.4N 954414.5W  224.0Vivian
VVOS  442106.5N 195416.9E    0.0Brankovina
VWBM  435449.2N1213316.2W 1736.0Wanoga Butte
VWMM  431818.0N1214257.0W 2158.0Walker Mountain
VWV   372757.6N 802330.0W  963.0Potts Mountain
VYB  C604300.0N 284800.0E   25.0Vyborg
VYHS  482938.4N 185010.0E  480.0Vyhne
VZS  C610239.0N1461819.2W  668.0Valdez South
VZW  C610332.4N1463314.4W  796.0Valdez West
W02B  374725.1N1222316.8W    0.0Bay Bridge West Pier 2
W05B  374804.0N1222232.9W    0.0Bay Bridge West Pier 5
WA-                             (Alternate Abbreviation for WA-OK)
WA-OKC342630.0N 942928.0W  305.0Watson
WA1  C305435.4S1164342.0E  260.0Wongan Hills
WA2   331636.0S1172012.0E  300.0Wagin
WA3   320306.0S1163836.0E  276.0Talbot Brook
WA4   303607.2S1171330.0E  320.0Burakin
WAA    40700.0S1450600.0E   48.0Waris
WAB    52941.0S1434342.1E 2032.0Wabag
WABN C525428.8N 665215.6W  563.0Wabush
WACK  615910.8N1441942.2W 2280.0Wrangell Chichokna Glacier
WAD   394116.1N1191716.8W 1262.0Wadsworth
WADM  362158.0N 894745.2W   78.0Wardell
WAH   464507.2N1193440.8W  231.0Wahluke
WAH2  464519.2N1193356.4W  244.0Wahluke Slope
WAHA R     0.0N      0.0E    0.0West Anchorage High School
WAHZ  394157.0S1762119.0E  657.0Wakarara
WAI  C433000.0S1715200.0E  335.0Wairiri (Glentunnel)
WAJ   372324.0N1365354.0E    7.0Wajima (Wazima)
WAJH  261033.6N 363336.0E   75.0Al Wajh
WAK   452500.0N1414024.0E   90.0Wakkanai
WAKE  191659.9N1663913.0E    0.2Wake Island
WAKJ  452448.0N1414100.0E   11.0Wakkanai
WAKR  383015.8N1192613.9W 1890.0Walker
WAL   472736.0N1155754.0W 1200.0Wallace
WALA  490331.0N1135441.5W 1400.0Waterton Lakes
WALU R601527.4N  13647.9W  170.0Walls
WAM   361134.0S1485300.0E  200.0Wambrook
WAMI R 35305.0S1384241.0E    0.0Wamena
WAN    41139.6S1521032.5E   25.0Wanliss Street
WANC  620011.3N1440411.7W 4190.0Wrangell North Crater
WAR   521430.0N 210125.0E  110.0Warsaw (Warszawa)
WARB C261101.7S1263834.8E  460.0Warburton
WARN R102743.2N 844315.0W  580.0West Arenal
WAS  C385333.0N 770159.2W    1.0Washington
WASL C291116.8N 345421.6E    0.0Wasel
WASM  354417.4N1183325.2W 1871.0Alta Sierra Campground
WAT  C301900.0S1155300.0E    0.0Watheroo
WATA  472008.7N 113434.7E 1492.0Walderalm
WATZ  384234.9S1754358.5E  520.0Waihaha
WAU    72044.1S1464259.4E 1083.0Wau
WAX   602700.0N1425106.1W  975.0Waxell Ridge
WAY  C395406.0N 801106.0W  329.0Waynesburg
WB0   194601.7S1342334.2E  362.1Warramunga Array Site B0
WB1                             (Alternate Abbreviation for WRB)
WB2   195633.9S1342104.0E  388.0Warramunga Array Site B2
WB3   195522.9S1342119.7E  384.2Warramunga Array Site B3
WB4   195413.1S1342132.2E  380.6Warramunga Array Site B4
WB5   195241.6S1342158.3E  370.9Warramunga Array Site B5
WB6   195117.8S1342201.8E  364.8Warramunga Array Site B6
WB7   195026.9S1342246.0E  353.2Warramunga Array Site B7
WB8   194850.2S1342250.9E  356.1Warramunga Array Site B8
WB9   194729.0S1342302.3E  360.0Warramunga Array Site B9
WBAQ  272109.7S1521829.5E    0.0Buaraba 3
WBE  C523200.0N  20000.0W  156.0West Bromwich
WBF  R     0.0N      0.0E    0.0Wyntersberg
WBHS  183620.5N 424251.8E 1870.0W\=ad\=\i  `Ibn Hashbal
WBI  C463457.2N1155843.5W 1341.0Whiskey Butte
WBL   463554.0N1192733.0W    0.0White Bluff
WBMM  352703.6N1183500.0W 2292.0Breckenridge Mountain
WBN  C260824.0S1263440.8E  457.0Warburton
WBNH  433614.4N 710556.4W  200.0Wolfeboro
WBO   450001.0N 751630.0W   85.0Williamsburg
WBR  R525121.6N  35338.8W  340.0Bronaber
WBSM  353213.2N1180822.2W 1932.0Bird Springs
WBVM R     0.0N      0.0E    0.0
WBW   480104.2N1190813.8W  826.0Wilson Butte
WC1   195527.6S1342020.6E  392.0Warramunga Array Site C1
WC2   195531.4S1342155.6E  375.0Warramunga Array Site C2
WC3   195731.5S1342219.0E  382.1Warramunga Array Site C3
WC4   195742.9S1342023.0E  387.5Warramunga Array Site C4
WCB   195604.9S1342123.8E  366.0Warramunga Array
WCBC C593740.1N1374257.6W  750.0Windy Craggy
WCC   410330.6N 734730.5W  100.0Westchester Community College
WCFM                            (Alternate Abbreviation for CFWM)
WCGM                            (Alternate Abbreviation for CGSM)
WCHM  355258.8N1180428.8W 2475.0Chimney Peak
WCI   381344.4N 861737.7W  500.0Wyandotte Cave
WCK   365602.4N 885226.4W  137.0Wilson Creek
WCM  C482729.9N1150610.1W 1704.0Warland Creek
WCN   391806.1N1194522.7W 1709.0Washoe City
WCOM C353721.0N1182615.0W 1609.0Cook Peak
WCPM                            (Alternate Abbreviation for CPTM)
WCSM                            (Alternate Abbreviation for CSSM)
WCT   364734.1N1163732.5W  977.0Wildcat Mountain
WCTN F                          Western Canada Telemetered Network
WCU   385752.8N1120524.0W 2714.0Willow Creek
WCXM  354237.8N1173558.8W  671.0China Lake Receiver Site
WCZ   355628.0S1742040.0E  140.0Waipu Caves
WD-                             (Alternate Abbreviation for WD-MN)
WD-MNC440658.0N 950918.0W  381.0Windom
WDB  R531232.4N  64405.6E   -2.0Woudbloem
WDBM R335306.0S1503538.4E   30.0Warragamba Dam Base
WDC   403447.6N1223228.1W  268.3Whiskeytown Dam
WDD   355201.2N 143122.8E   41.0Wield Dalam
WDG   332038.4N 831030.7W  177.0Wallace Dam
WDGT  231536.0N1193936.0E   33.0Dungji
WDIN C380527.0N 874257.0W  164.0Wadesville
WDIS   90506.0S1524308.0E   80.0Woodlark Island
WDS  C372504.8N1221619.8W  280.0Woodside
WDT   234521.6N1210758.8E 2550.0Danda
WDW  C411607.0S1745937.0E  130.0Wainui Dam
WDY  C354200.0N1185036.0W  500.0Woody
WEGH   53536.0N   1937.0W  180.0Weija
WEK  C 32525.0S1434115.0E   10.0Wewak
WEL   411710.0S1744606.0E  122.0Wellington
WELA F                          IGNS Auckland Network, Lower Hutt, NZ
WELC F                          IGNS Clyde Network, Lower Hutt, NZ
WELE F                          IGNS Taranaki Network, Lower Hutt, NZ
WELH F                          IGNS Hawkes Bay Network, Lower Hutt, NZ
WELN R     0.0N      0.0E    0.0(will be deleted)
WELO F                          IGNS Tongariro Volcanic Network, Lower Hutt, NZ
WELP F                          IGNS Pukaki Network, Lower Hutt, NZ
WELR F                          IGNS Rotorua Network, Lower Hutt, NZ
WELT F                          IGNS Taupo Network, Lower Hutt, NZ
WELW F                          IGNS Wellington Network, Lower Hutt, NZ
WEN   473146.2N1201139.0W 1061.0Wenatchee
WENL  373719.6N1214525.1W  138.9Wente Brothers Winery
WEO   440107.0N 782228.0W  149.0Welcome
WER   335701.1S1503449.1E  226.0Werombi
WES   422304.9N 711919.5W   60.0Weston
WESE  542821.4N1643510.6W  930.0West Dahl East
WESN  543406.6N1643500.0W  549.0West Dahl North
WESS  542846.0N1644321.2W  908.0West Dahl South
WEST  430948.6N 752848.0W  167.0Westmoreland
WET   490838.4N 125241.5E  613.0Wettzell
WEW    33316.0S1433733.0E   10.0Wewak
WF-                             (Alternate Abbreviation for WF-MN)
WF-MNC434805.0N 922223.0W  381.0Wykoff
WFAR  543213.6N1644635.3W  640.0Faris Peak
WFB   524058.8N  40216.1W  325.0Fairbourne
WFF  C304230.0N 870100.0W    0.0Whiting Field--Milton
WFM   423638.0N 712926.0W   88.0Westford
WFSB  250412.0N1214648.0E    0.0Wu-fen Shan
WG2   460150.2N1185120.0W  511.0Wallula Gap
WG3   460143.0N1185124.0W  480.0Wallula Gap
WGAR C355110.8N 901127.6W   72.0Walnut Grove
WGB  C520607.2N1192754.0W 2012.0Wells Gray
WGBM R335157.8S1503430.2E  254.0Warragamba Bedrock
WGK   234109.6N1203343.2E   75.0Gukeng
WGL   175906.0N 793148.0E  280.0Warangal
WGLY R412132.0N 735358.0W  152.0Wegel
WGMA  421720.4N 713506.0W  130.0Westboro
WGW   460240.8N1185557.6W  162.0Wallila Gap
WGZ  C381717.0S1762313.0E  440.0Waimangu
WH-                             (Alternate Abbreviation for WH-YK)
WH-YKC604403.0N1350857.0W  762.0Whitehorse
WH2  C341852.2N1142433.0W 1245.0Whipple Mountains 2
WH2*                            (Alternate Abbreviation for WH2YK)
WH2YKC604141.0N1345802.0W  853.0Whitehorse
WHA  C191954.0N1550255.2W   29.0Wahaula
WHAB  355501.5N 373307.1E  630.0Al Wahab
WHB   500741.2N1225719.1W  695.0Whistler
WHC  C604412.0N1350554.0W  732.0Whitehorse
WHF   240842.0N1211554.0E 3395.0Hehuan Shan
WHFM  354146.2N1182054.6W  902.0Hanning Flat
WHH  C385304.2S1762942.0E  921.0Whakatau
WHI  C192554.0N1551542.0W 1210.0Whitney
WHJ  R     0.0N      0.0E    0.0
WHM  C464543.5N1131052.4W 1792.0Wild Horse Parks
WHN   303237.0N1142101.0E   26.0Wuhan
WHNE C411410.3N 963909.0W  381.0Wahoo
WHR   400224.0N1182136.0W    0.0
WHSM                            (Alternate Abbreviation for HWSM)
WHTZ  384004.0S1755726.6E  780.0Whakaora
WHU  C392250.0N1121012.0W 1993.0Wild Horse
WHVM  353036.0N1183104.2W 1006.0Havilah
WHW   411751.0S1744417.0E  383.0Wrights Hill
WHY   603934.9N1345250.5W 1292.0Whitehorse
WHZ   455341.0S1675651.0E  320.0Wether Hill Road
WI-                             (Alternate Abbreviation for WI-NV)
WI-NVC412102.0N1172730.0W 1524.0Winnemucca
WICI  441030.0N1135312.0W 2088.0Willow Creek
WIEN F                          Inst. f\"ur Meteorologie und Geophysik, Univ. Wi
WIGH   52149.0N   3708.0W   64.0Winneba
WIH   192809.0N1553501.2W 4037.0Wilkes Camp
WIHG  301942.6N 780046.8E  619.0Wadia Institute--Dehra Dun
WIL  C661533.0S1103138.0E   10.0Wilkes
WILA  472452.9N  85427.0E  910.0Wila
WILL R382021.6S1464412.1E  425.0Willung South
WILN  120938.5N 861115.0W   20.0Am\'ericas 2
WIM   540849.9N  44024.6W  365.0Isle of Man
WIMIS 463954.0N  73727.1E  770.0Wimmis
WIN   223400.0S 170600.0E 1728.0Windhoek
WIS  C331633.6N1153534.8W  -68.0Wister
WISC  473632.0N1221027.8W   10.0Wilburton Instructional Services Center
WIT   524848.0N  64006.0E   17.0Witteveen
WITU   44133.0S1492921.0E  100.0Witu Islands
WIW   462545.6N1191715.6W  128.0Wooded Island
WIZ   373142.0S1771121.0E   40.0White Island
WJPM  352439.0N1182850.4W 1122.0Johns Peak
WJU  R     0.0N      0.0E    0.0
WK-                             (Alternate Abbreviation for WK-BC)
WK-BCC521043.0N1215854.0W  975.0Williams Lake
WKA   362501.2S1401915.6E   40.0Willalooka
WKB  R490237.0N1224905.0W  110.0White Rock
WKC  C402336.0N1241715.0W  975.0Walker Ridge
WKC2 C402321.0N1241743.8W  226.0Walker Ridge
WKE  C191854.0N1663736.0E    5.0Wake
WKH   195134.8N1553936.0W 1433.0Waikii
WKJ   335135.2N1343052.8E  100.0Wajiki
WKM   280018.0S 264542.0E 1340.0Welkom
WKME R341127.3N1351002.3E    5.0Wakayama
WKR   354852.2N1203040.2W  503.0Work Ranch
WKTM  354738.4N1182632.4W  890.0Kern-Tulare
WKU  C341116.5N1351022.7E   10.0Wakaura (Wakayama ERI)
WKY   341336.0N1351000.0E   14.0Wakayama
WKYJ  341306.0N1353536.0E  695.0Wakayama 2 (Kouya)
WL-                             (Alternate Abbreviation for WL-YK)
WL-YKC600700.0N1284552.0W  716.0Watson Lake
WLA   351108.3N 904256.1W  115.0Wittsburg Lake
WLC  R525944.2N  34643.7W  440.0Llyn Conwy
WLCT R222052.8N1202143.2E   38.0Hsiaoliuchiu
WLD   382736.6N1125149.8W 1804.0Wild Horse Canyon
WLDR C384924.6N1183428.9W 1798.0Wildhorse
WLF   493952.6N  60909.4E  295.0Walferdange
WLG  C192529.4N1551541.4W 1067.0Waldron Ledge
WLHM  360908.4N1181842.0W 2676.0Little Horse
WLI  C441832.4N 760035.4W   90.0Wellesley Island
WLJ   403648.0N1112037.8W 2088.0Wildlife
WLK   330304.8N1152926.4W  -52.0Wiest Lake
WLL  C424251.0N 731240.0W  220.0Williamstown
WLM  C614625.0N1451153.0W  988.0Willow Mountain
WLO   340353.2N 972211.0W  284.0Wilson
WLPM C353027.6N1182431.2W 2265.0Leibel Peak
WLS   482446.0N  72113.0E  775.0Welschbruch
WLVO  435524.8N 782349.2W   70.0Wesleyville
WLZ   375028.0S1753516.0E  180.0Whitehall
WM-                             (Alternate Abbreviation for WM-AZ)
WM-AZC352504.0N1121254.0W 1920.0Williams
WMA   350419.8N1065122.8W 1804.0West Mesa
WMBQ  270655.8S1523300.7E  160.0Mount Brisbane
WMD   372624.0N1183824.0W    0.0
WME   532347.8N  41812.2W  130.0Myndd Eilian
WMH  R524238.9N  44459.3E   -1.0Warmenhuizen
WML  U330054.7N1153721.0W  -44.0Westmorland
WMN  C405848.0N1175512.0W 1524.0Winnemucca
WMNY  432121.6N 760152.8W  158.0West Monroe
WMO  C344305.0N 983521.0W  505.0Wichita Mountains Array
WMOK  344416.4N 984651.6W  486.0Wichita Mountains
WMOR  425410.0N1223531.0W 1860.0Whale Back Mountain
WMQ   434916.0N 874142.0E  897.0Urumqi (Wulumuchi)
WMR   211913.2N1574056.4W  200.0Waimanalo Ridge
WMS  C332533.0N 804427.0W   34.0West Middle School
WMTN  351452.8N 845823.4W  378.0White Oak Mountain
WMU  C400518.0N1114921.0W 2053.0West Mountain
WMUT  400436.0N1115000.0W 1981.0West Mountain
WMV   370630.6N 805813.8W 1157.0Walker Mountain
WMY   333831.7N1334030.2E  230.0Wakamiya
WMZ   350929.0N1121913.0W 2018.0Williams
WN-                             (Alternate Abbreviation for WN-SD)
WN-SDC431508.0N1001146.0W  792.0Winner
WNC   340329.0N 781446.0W   20.0Wilmington
WND   422014.2N 740909.0W  602.0Windham
WNDE   70458.8N 383748.0E 1920.0Wendo Genet
WNH   435206.0N 712359.0W  220.0Whiteface
WNMM                            (Alternate Abbreviation for NMC)
WNN   411123.0N 961558.0W  387.0Wann
WNR  C421530.0N 830620.0W -122.0Windsor
WNS   464237.0N1203430.0W 1000.0Wenas
WNT   235240.8N1204102.4E  110.0Mingjian
WNW   473146.2N1201139.0W 1061.0Wenatchee
WNY   442327.6N 735134.2W  598.0Wilmington
WNZ  C383753.0S1760610.0E  350.0Wairakei
WO-                             (Alternate Abbreviation for WO-AZ)
WO-AZC345253.0N1103715.0W 1585.0Winslow
WOB   193218.6N1553500.6W 3396.0Weather Observatory
WOFM  353208.4N1184245.0W 1341.0Oak Flat
WOH   191504.8N1553007.2W  909.0Wood Valley
WOL   511845.8N  11322.1W  156.0Wolverton
WON  R511939.0N  11203.0W  104.0Wolverton North
WOO  C392000.0N 765230.0W    0.0Woodstock
WOOL C310422.8S1214040.8E  325.0Woolibar
WOR  C421600.0N 714800.0W  203.0Worcester
WORM  354147.4N1181431.2W  837.0Onyx Ranch
WOSB  500938.5N1263413.4W  955.0Woss Lake
WP-TXC323625.0N 955310.0W  161.0Wills Point
WPA  C271537.0S1531520.6E   10.0Woody Point
WPB   493925.2N1231234.2W  273.0Watts Point
WPH  C192442.0N1551730.0W 1115.0West Pit
WPI   431720.0N1164500.0W    0.0Wilson Peak
WPM   464505.5N 893317.7W  193.0White Pine
WPMQ  273208.5S1524407.8E   35.0Pine Mountain
WPNY C414810.8N 735814.4W   76.0West Park
WPO   453424.0N1224722.4W  334.0West Portland
WPOG  543549.2N1644442.0W  445.0Pogromni
WPR  C411516.8N 733508.4W  152.0Ward Pound Ridge
WPW   464153.4N1213248.0W 1250.0White Pass
WPZ  C463937.0S1685059.0E    4.0Waipapa Point
WQ-ILC405156.0N 873511.0W  198.0Watseka
WR-                             (Alternate Abbreviation for WR-AR)
